ounces,grams,item_id,beverage_fl_oz_cup,beverage_ml
4.8,136.0,1,,
4.8,135.0,2,,
3.9,111.0,3,,
5.7,161.0,4,,
5.7,161.0,5,,
6.5,185.0,6,,
5.3,150.0,7,,
5.8,164.0,8,,
5.4,153.0,9,,
5.9,167.0,10,,
4.1,117.0,11,,
4.6,131.0,12,,
5.7,163.0,13,,
6.2,177.0,14,,
5.9,167.0,15,,
6.4,181.0,16,,
5.0,143.0,17,,
5.5,157.0,18,,
7.1,201.0,19,,
6.1,174.0,20,,
6.3,178.0,21,,
5.0,141.0,22,,
7.1,201.0,23,,
7.2,205.0,24,,
6.9,197.0,25,,
7.1,201.0,26,,
8.5,241.0,27,,
9.5,269.0,28,,
10.0,283.0,29,,
9.6,272.0,30,,
10.1,286.0,31,,
14.8,420.0,32,,
15.3,434.0,33,,
14.9,423.0,34,,
15.4,437.0,35,,
5.3,151.0,36,,
6.8,192.0,37,,
3.9,111.0,38,,
2.0,56.0,39,,
4.0,114.0,40,,
9.6,251.0,41,,
9.6,251.0,42,,
7.4,211.0,43,,
7.1,202.0,44,,
8.0,227.0,45,,
8.3,235.0,46,,
8.6,244.0,47,,
10.0,283.0,48,,
3.5,98.0,49,,
4.0,113.0,50,,
5.7,161.0,51,,
9.5,270.0,52,,
5.2,147.0,53,,
5.7,161.0,54,,
6.7,190.0,55,,
5.6,159.0,56,,
7.3,208.0,57,,
7.5,213.0,58,,
7.0,200.0,59,,
8.8,249.0,60,,
8.3,235.0,61,,
8.1,230.0,62,,
7.6,217.0,63,,
10.0,284.0,64,,
9.5,270.0,65,,
5.6,160.0,66,,
5.1,143.0,67,,
6.0,171.0,68,,
5.7,161.0,69,,
5.2,148.0,70,,
11.1,316.0,71,,
10.7,302.0,72,,
10.9,310.0,73,,
10.5,297.0,74,,
11.1,314.0,75,,
11.2,318.0,76,,
10.7,304.0,77,,
10.3,291.0,78,,
2.3,65.0,79,,
3.4,97.0,80,,
5.7,162.0,81,,
11.4,323.0,82,,
22.8,646.0,83,,
5.0,142.0,84,,
7.9,223.0,85,,
9.0,255.0,86,,
8.5,241.0,87,,
8.1,230.0,88,,
12.3,348.0,89,,
11.8,335.0,90,,
4.6,130.0,91,,
4.3,123.0,92,,
4.3,123.0,93,,
4.1,116.0,94,,
4.5,128.0,95,,
4.3,121.0,96,,
2.6,75.0,97,,
3.9,111.0,98,,
5.9,168.0,99,,
1.3,38.0,100,,
3.1,87.0,101,,
1.2,34.0,102,,
5.2,149.0,103,,
2.7,77.0,104,,
,33.0,105,,
,33.0,106,,
1.0,29.0,107,,
6.3,179.0,108,,
6.4,182.0,109,,
6.3,178.0,110,,
,,111,16.0,
,,112,21.0,
,,113,30.0,
,,114,12.0,
,,115,16.0,
,,116,21.0,
,,117,30.0,
,,118,12.0,
,,119,16.0,
,,120,21.0,
,,121,30.0,
,,122,12.0,
,,123,16.0,
,,124,21.0,
,,125,30.0,
,,126,12.0,
,,127,16.0,
,,128,21.0,
,,129,30.0,
,,130,12.0,
,,131,,236.0
,,132,,236.0
6.0,,133,,
,,134,12.0,
,,135,16.0,
,,136,22.0,
16.9,,137,,
,,138,16.0,
,,139,21.0,
,,140,30.0,
,,141,12.0,
,,142,16.0,
,,143,21.0,
,,144,30.0,
,,145,12.0,
,,146,12.0,
,,147,16.0,
,,148,16.0,
,,149,12.0,
,,150,16.0,
,,151,20.0,
,,152,12.0,
,,153,16.0,
,,154,20.0,
,,155,12.0,
,,156,16.0,
,,157,20.0,
,,158,12.0,
,,159,16.0,
,,160,20.0,
,,161,12.0,
,,162,16.0,
,,163,20.0,
,,164,12.0,
,,165,16.0,
,,166,20.0,
,,167,12.0,
,,168,16.0,
,,169,20.0,
,,170,12.0,
,,171,16.0,
,,172,20.0,
,,173,12.0,
,,174,16.0,
,,175,20.0,
,,176,12.0,
,,177,16.0,
,,178,20.0,
,,179,12.0,
,,180,16.0,
,,181,20.0,
,,182,12.0,
,,183,16.0,
,,184,20.0,
,,185,12.0,
,,186,16.0,
,,187,20.0,
,,188,12.0,
,,189,16.0,
,,190,20.0,
,,191,12.0,
,,192,16.0,
,,193,20.0,
,,194,12.0,
,,195,16.0,
,,196,20.0,
,,197,16.0,
,,198,22.0,
,,199,32.0,
,,200,16.0,
,,201,22.0,
,,202,32.0,
,,203,16.0,
,,204,22.0,
,,205,32.0,
,,206,16.0,
,,207,22.0,
,,208,32.0,
,,209,16.0,
,,210,22.0,
,,211,32.0,
,,212,12.0,
,,213,16.0,
,,214,22.0,
,,215,12.0,
,,216,16.0,
,,217,22.0,
,,218,12.0,
,,219,16.0,
,,220,22.0,
,,221,12.0,
,,222,16.0,
,,223,22.0,
,,224,12.0,
,,225,16.0,
,,226,22.0,
,,227,12.0,
,,228,16.0,
,,229,22.0,
,,230,12.0,
,,231,16.0,
,,232,22.0,
,,233,12.0,
,,234,16.0,
,,235,22.0,
,,236,12.0,
,,237,16.0,
,,238,22.0,
,,239,12.0,
,,240,16.0,
,,241,22.0,
,,242,12.0,
,,243,16.0,
,,244,22.0,
,,245,12.0,
,,246,16.0,
,,247,22.0,
,,248,12.0,
,,249,16.0,
,,250,22.0,
,,251,16.0,
,,252,22.0,
10.9,310.0,253,,
16.2,460.0,254,,
7.3,207.0,255,,
10.1,285.0,256,,
13.4,381.0,257,,
6.7,190.0,258,,
14.2,403.0,259,,
7.1,202.0,260,,
